year, commodity, cropname, countycode, county, acres, yield, production, price_per, unit, value
2002,489999,APIARY PRODUCTS BEES UNSPEC ,109,Tuolumne ,  ,  ,,,,350900
2002,489999,APIARY PRODUCTS BEES UNSPEC ,113,Yolo ,  ,  ,,,,1128000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,115,Yuba ,  ,  ,,,,47000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,999, State Totals,0,  ,0,,,5576000
2002,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,500,1.80,LBS ,900
2002,482999,APIARY PRODUCTS BEESWAX ,13,Contra Costa ,  ,  ,200,3.50,LBS ,700
2002,482999,APIARY PRODUCTS BEESWAX ,19,Fresno ,  ,  ,53400,1.15,LBS ,61400
2002,482999,APIARY PRODUCTS BEESWAX ,21,Glenn ,  ,  ,7000,1.14,LBS ,8000
2002,482999,APIARY PRODUCTS BEESWAX ,25,Imperial ,  ,  ,58019,1.05,LBS ,61000
2002,482999,APIARY PRODUCTS BEESWAX ,29,Kern ,  ,  ,423000,1.32,LBS ,558000
2002,482999,APIARY PRODUCTS BEESWAX ,31,Kings ,  ,  ,20432,1.03,LBS ,21000
2002,482999,APIARY PRODUCTS BEESWAX ,37,Los Angeles ,  ,  ,22500,3.64,LBS ,82000
2002,482999,APIARY PRODUCTS BEESWAX ,39,Madera ,  ,  ,11900,1.01,LBS ,12000
2002,482999,APIARY PRODUCTS BEESWAX ,47,Merced ,  ,  ,46792,1.20,LBS ,56000
2002,482999,APIARY PRODUCTS BEESWAX ,53,Monterey ,  ,  ,1290,2.25,LBS ,2900
2002,482999,APIARY PRODUCTS BEESWAX ,65,Riverside ,  ,  ,47000,1.00,LBS ,47000
2002,482999,APIARY PRODUCTS BEESWAX ,71,San Bernardino ,  ,  ,1660,0.48,LBS ,800
2002,482999,APIARY PRODUCTS BEESWAX ,73,San Diego ,  ,  ,  ,  ,  ,39600
2002,482999,APIARY PRODUCTS BEESWAX ,77,San Joaquin ,  ,  ,1953,1.33,LBS ,2600
2002,482999,APIARY PRODUCTS BEESWAX ,81,San Mateo ,  ,  ,700,2.86,LBS ,2000
2002,482999,APIARY PRODUCTS BEESWAX ,89,Shasta ,  ,  ,11200,1.58,LBS ,17700
2002,482999,APIARY PRODUCTS BEESWAX ,99,Stanislaus ,  ,  ,5150,1.03,LBS ,5300
2002,482999,APIARY PRODUCTS BEESWAX ,101,Sutter ,  ,  ,4601,1.00,LBS ,4600
2002,482999,APIARY PRODUCTS BEESWAX ,107,Tulare ,  ,  ,150000,1.16,LBS ,174000
2002,482999,APIARY PRODUCTS BEESWAX ,111,Ventura ,  ,  ,10843,1.57,LBS ,17000
2002,482999,APIARY PRODUCTS BEESWAX ,999, State Totals,0,  ,878140,1.29,    ,1174500
2002,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,30000,1.40,LBS ,42000
2002,481999,APIARY PRODUCTS HONEY ,11,Colusa ,  ,  ,11000,1.27,LBS ,14000
2002,481999,APIARY PRODUCTS HONEY ,13,Contra Costa ,  ,  ,37000,3.54,LBS ,131000
2002,481999,APIARY PRODUCTS HONEY ,19,Fresno ,  ,  ,2282000,1.26,LBS ,2875000
2002,481999,APIARY PRODUCTS HONEY ,21,Glenn ,  ,  ,329000,1.47,LBS ,484000
2002,481999,APIARY PRODUCTS HONEY ,25,Imperial ,  ,  ,2289544,1.34,LBS ,3068000
2002,481999,APIARY PRODUCTS HONEY ,27,Inyo ,  ,  ,250000,0.96,LBS ,240000
2002,481999,APIARY PRODUCTS HONEY ,29,Kern ,  ,  ,3384000,1.29,LBS ,4365000
2002,481999,APIARY PRODUCTS HONEY ,31,Kings ,  ,  ,1225928,1.20,LBS ,1471000
2002,481999,APIARY PRODUCTS HONEY ,37,Los Angeles ,  ,  ,291000,1.73,LBS ,503000
2002,481999,APIARY PRODUCTS HONEY ,39,Madera ,  ,  ,815000,1.24,LBS ,1011000
2002,481999,APIARY PRODUCTS HONEY ,43,Mariposa ,  ,  ,126000,1.32,LBS ,166000
2002,481999,APIARY PRODUCTS HONEY ,47,Merced ,  ,  ,3041500,1.25,LBS ,3802000
2002,481999,APIARY PRODUCTS HONEY ,53,Monterey ,  ,  ,25000,0.75,LBS ,18800
2002,481999,APIARY PRODUCTS HONEY ,59,Orange ,  ,  ,114107,1.23,LBS ,140300
2002,481999,APIARY PRODUCTS HONEY ,65,Riverside ,  ,  ,1900000,1.05,LBS ,1995000
2002,481999,APIARY PRODUCTS HONEY ,71,San Bernardino ,  ,  ,101000,0.82,LBS ,83000
2002,481999,APIARY PRODUCTS HONEY ,73,San Diego ,  ,  ,  ,  ,  ,2012100
2002,481999,APIARY PRODUCTS HONEY ,77,San Joaquin ,  ,  ,326000,1.25,LBS ,407500
2002,481999,APIARY PRODUCTS HONEY ,81,San Mateo ,  ,  ,50000,1.60,LBS ,80000
2002,481999,APIARY PRODUCTS HONEY ,89,Shasta ,  ,  ,406500,1.29,LBS ,524400
2002,481999,APIARY PRODUCTS HONEY ,95,Solano ,  ,  ,70000,1.25,LBS ,87500
2002,481999,APIARY PRODUCTS HONEY ,99,Stanislaus ,  ,  ,251000,1.30,LBS ,326000
2002,481999,APIARY PRODUCTS HONEY ,101,Sutter ,  ,  ,314893,1.29,LBS ,406200
2002,481999,APIARY PRODUCTS HONEY ,107,Tulare ,  ,  ,17237000,1.31,LBS ,22577000
2002,481999,APIARY PRODUCTS HONEY ,111,Ventura ,  ,  ,476661,1.31,LBS ,625000
2002,481999,APIARY PRODUCTS HONEY ,999, State Totals,0,  ,35384133,1.28,    ,47454800
2002,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1400,40,COL ,56000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,7,Butte ,  ,  ,40000,43,COL ,1720000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,11,Colusa ,  ,  ,43000,37,COL ,1591000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,13,Contra Costa ,  ,  ,600,45,COL ,27000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,19,Fresno ,  ,  ,201600,41,COL ,8243000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,21,Glenn ,  ,  ,  ,  ,  ,1990000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,25,Imperial ,  ,  ,45563,27,COL ,1215000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,29,Kern ,  ,  ,210000,45,COL ,9350000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,31,Kings ,  ,  ,24506,42,COL ,1039000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,39,Madera ,  ,  ,146000,46,COL ,6701000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,47,Merced ,  ,  ,175770,46,COL ,8005000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,53,Monterey ,,  ,  ,  ,COL ,15200
2002,486999,APIARY PRODUCTS POLLIN. FEES ,65,Riverside ,  ,  ,20000,38,COL ,760000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,71,San Bernardino ,  ,  ,19000,45,COL ,855000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,73,San Diego ,  ,  ,  ,  ,  ,726500
2002,486999,APIARY PRODUCTS POLLIN. FEES ,77,San Joaquin ,  ,  ,186250,45,COL ,8381300
2002,486999,APIARY PRODUCTS POLLIN. FEES ,89,Shasta ,  ,  ,24600,45,COL ,1113200
2002,486999,APIARY PRODUCTS POLLIN. FEES ,95,Solano ,  ,  ,6610,26,COL ,169800
2002,486999,APIARY PRODUCTS POLLIN. FEES ,99,Stanislaus ,  ,  ,144000,48,COL ,6958000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,101,Sutter ,  ,  ,51609,16,COL ,833500
2002,486999,APIARY PRODUCTS POLLIN. FEES ,103,Tehama ,  ,  ,14410,48,COL ,684500
2002,486999,APIARY PRODUCTS POLLIN. FEES ,107,Tulare ,  ,  ,145000,41,COL ,5960000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,111,Ventura ,  ,  ,  ,  ,  ,221000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,115,Yuba ,  ,  ,5000,34,COL ,170000
2002,486999,APIARY PRODUCTS POLLIN. FEES ,999, State Totals,0,  ,1504918,42,    ,66785000
2002,211999,APPLES ALL ,7,Butte ,222,8.00,1776,550,TON ,977000
2002,211999,APPLES ALL ,9,Calaveras ,140,4.29,600,350,TON ,210000
2002,211999,APPLES ALL ,13,Contra Costa ,582,9.24,5380,444,TON ,2390000
2002,211999,APPLES ALL ,17,El Dorado ,835,14.10,11774,565,TON ,6657900
2002,211999,APPLES ALL ,19,Fresno ,2259,11.72,26470,493,TON ,13051000
2002,211999,APPLES ALL ,29,Kern ,3107,17.03,52900,518,TON ,27411000
2002,211999,APPLES ALL ,31,Kings ,255,12.03,3067,353,TON ,1084000
2002,211999,APPLES ALL ,37,Los Angeles ,71,3.94,280,2000,TON ,560000
2002,211999,APPLES ALL ,39,Madera ,1670,8.90,14863,236,TON ,3508000
2002,211999,APPLES ALL ,43,Mariposa ,200,2.02,404,344,TON ,139000
2002,211999,APPLES ALL ,45,Mendocino ,200,11.96,2391,348,TON ,832600
2002,211999,APPLES ALL ,53,Monterey ,91,16.48,1500,233,TON ,349000
2002,211999,APPLES ALL ,61,Placer ,63,5.00,315,391,TON ,123200
2002,211999,APPLES ALL ,65,Riverside ,67,1.70,114,573,TON ,65300
2002,211999,APPLES ALL ,67,Sacramento ,298,8.20,2444,255,TON ,623000
2002,211999,APPLES ALL ,69,San Benito ,490,16.22,7948,230,TON ,1828000
2002,211999,APPLES ALL ,71,San Bernardino ,320,5.09,1628,1374,TON ,2236700
2002,211999,APPLES ALL ,73,San Diego ,436,2.10,916,395,TON ,361700
2002,211999,APPLES ALL ,77,San Joaquin ,5832,9.26,54002,624,TON ,33715000
2002,211999,APPLES ALL ,79,San Luis Obispo ,1270,6.50,8255,364,TON ,3005000
2002,211999,APPLES ALL ,85,Santa Clara ,34,8.71,296,193,TON ,57000
2002,211999,APPLES ALL ,87,Santa Cruz ,2756,14.90,41064,223,TON ,9157000
2002,211999,APPLES ALL ,97,Sonoma ,2956,9.07,26804,171,TON ,4585700
2002,211999,APPLES ALL ,99,Stanislaus ,1760,11.80,20770,405,TON ,8412000
2002,211999,APPLES ALL ,101,Sutter ,319,2.37,756,255,TON ,192800
2002,211999,APPLES ALL ,107,Tulare ,613,8.52,5220,687,TON ,3586000
2002,211999,APPLES ALL ,999, State Totals,26846,10.87,291937,429,    ,125117900
2002,217999,APRICOTS ALL ,13,Contra Costa ,559,4.92,2750,424,TON ,1166000
2002,217999,APRICOTS ALL ,19,Fresno ,1349,6.43,8670,896,TON ,7768000
2002,217999,APRICOTS ALL ,29,Kern ,526,3.99,2100,1478,TON ,3104000
2002,217999,APRICOTS ALL ,31,Kings ,304,5.22,1587,1091,TON ,1731000
2002,217999,APRICOTS ALL ,47,Merced ,1740,6.47,11259,306,TON ,3440000
2002,217999,APRICOTS ALL ,69,San Benito ,1345,3.48,4681,338,TON ,1582000
2002,217999,APRICOTS ALL ,77,San Joaquin ,2300,8.78,20200,291,TON ,5870000
2002,217999,APRICOTS ALL ,85,Santa Clara ,402,3.30,1327,323,TON ,428000
2002,217999,APRICOTS ALL ,95,Solano ,200,0.26,51,1490,TON ,76000
2002,217999,APRICOTS ALL ,99,Stanislaus ,6400,8.80,56320,405,TON ,22810000
2002,217999,APRICOTS ALL ,107,Tulare ,600,6.97,4180,689,TON ,2880000
2002,217999,APRICOTS ALL ,999, State Totals,15725,7.19,113125,450,    ,50855000
2002,301999,ARTICHOKES ,53,Monterey ,5735,6.10,35000,1093,TON ,38265000
2002,301999,ARTICHOKES ,59,Orange ,15,2.47,37,605,TON ,22400
2002,301999,ARTICHOKES ,65,Riverside ,798,6.83,5451,839,TON ,4574200
2002,301999,ARTICHOKES ,81,San Mateo ,136,3.56,484,1019,TON ,493000
2002,301999,ARTICHOKES ,999, State Totals,6684,6.13,40972,1058,    ,43354600
2002,302199,ASPARAGUS FRESH MARKET ,19,Fresno ,2200,3.45,7590,1575,TON ,11954000
2002,302199,ASPARAGUS FRESH MARKET ,53,Monterey ,4854,2.89,14030,1565,TON ,21956000
2002,302199,ASPARAGUS FRESH MARKET ,999, State Totals,7054,3.06,21620,1568,    ,33910000
2002,302999,ASPARAGUS UNSPECIFIED ,25,Imperial ,3429,2.09,7150,2068,TON ,14785000
2002,302999,ASPARAGUS UNSPECIFIED ,77,San Joaquin ,19000,1.27,24100,1502,TON ,36195000
2002,302999,ASPARAGUS UNSPECIFIED ,999, State Totals,22429,1.39,31250,1631,    ,50980000
2002,221999,AVOCADOS ALL ,37,Los Angeles ,46,3.17,146,849,TON ,124000
2002,221999,AVOCADOS ALL ,53,Monterey ,135,1.51,204,2397,TON ,489000
2002,221999,AVOCADOS ALL ,59,Orange ,1746,2.20,3848,2121,TON ,8161600
2002,221999,AVOCADOS ALL ,65,Riverside ,7199,2.60,18717,1946,TON ,36426900
2002,221999,AVOCADOS ALL ,71,San Bernardino ,223,4.44,990,2688,TON ,2661000
2002,221999,AVOCADOS ALL ,73,San Diego ,25729,2.94,75515,2017,TON ,152277100
2002,221999,AVOCADOS ALL ,79,San Luis Obispo ,1527,3.27,4992,1936,TON ,9665000
2002,221999,AVOCADOS ALL ,83,Santa Barbara ,8620,2.80,24136,1862,TON ,44932300
2002,221999,AVOCADOS ALL ,107,Tulare ,367,3.08,1130,1780,TON ,2011000
2002,221999,AVOCADOS ALL ,111,Ventura ,18588,3.28,60894,1631,TON ,99341000
2002,221999,AVOCADOS ALL ,999, State Totals,64180,2.97,190572,1869,    ,356088900
2002,113995,BARLEY FEED ,11,Colusa ,150,1.00,150,73,TON ,11000
2002,113995,BARLEY FEED ,19,Fresno ,8600,2.66,22900,96,TON ,2198000
2002,113995,BARLEY FEED ,29,Kern ,9100,1.80,16400,115,TON ,1889000
2002,113995,BARLEY FEED ,35,Lassen ,40,1.50,60,113,TON ,6800
2002,113995,BARLEY FEED ,47,Merced ,2666,2.97,7908,98,TON ,772000
2002,113995,BARLEY FEED ,53,Monterey ,995,0.76,757,111,TON ,84000
2002,113995,BARLEY FEED ,65,Riverside ,216,2.45,529,103,TON ,54700
2002,113995,BARLEY FEED ,69,San Benito ,900,0.96,864,90,TON ,78000
2002,113995,BARLEY FEED ,73,San Diego ,80,0.85,68,106,TON ,7200
2002,113995,BARLEY FEED ,79,San Luis Obispo ,15600,1.10,17160,97,TON ,1665000
2002,113995,BARLEY FEED ,93,Siskiyou ,7050,2.00,14100,92,TON ,1297200
2002,113995,BARLEY FEED ,95,Solano ,7588,1.50,11355,96,TON ,1090000
2002,113995,BARLEY FEED ,107,Tulare ,709,2.69,1910,103,TON ,197000
2002,113995,BARLEY FEED ,999, State Totals,53694,1.75,94161,99,    ,9349900
2002,113994,BARLEY MALTING ,49,Modoc ,10437,2.56,26719,114,TON ,3046000
2002,113994,BARLEY MALTING ,93,Siskiyou ,6200,2.25,13950,120,TON ,1674000
2002,113994,BARLEY MALTING ,999, State Totals,16637,2.44,40669,116,    ,4720000
2002,171139,BARLEY SEED ,93,Siskiyou ,1000,2.25,2250,110,TON ,247500
2002,171139,BARLEY SEED ,999, State Totals,1000,2.25,2250,110,    ,247500
2002,113999,BARLEY UNSPECIFIED ,31,Kings ,611,1.90,1161,98,TON ,114000
2002,113999,BARLEY UNSPECIFIED ,67,Sacramento ,343,0.99,340,97,TON ,33000
2002,113999,BARLEY UNSPECIFIED ,99,Stanislaus ,1400,2.77,3880,108,TON ,419000
2002,113999,BARLEY UNSPECIFIED ,999, State Totals,2354,2.29,5381,105,    ,566000
2002,161741,BEANS BLACKEYE (PEAS) ,77,San Joaquin ,1000,0.80,800,640,TON ,512000
2002,161741,BEANS BLACKEYE (PEAS) ,99,Stanislaus ,4900,1.40,6860,640,TON ,4390000
2002,161741,BEANS BLACKEYE (PEAS) ,101,Sutter ,819,0.76,622,596,TON ,370500
2002,161741,BEANS BLACKEYE (PEAS) ,999, State Totals,6719,1.23,8282,637,    ,5272500
2002,169999,BEANS DRY EDIBLE UNSPEC. ,7,Butte ,500,1.10,550,664,TON ,365000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,11,Colusa ,7520,0.98,7370,640,TON ,4717000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,13,Contra Costa ,283,3.41,965,1022,TON ,986000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,19,Fresno ,12500,1.20,15000,533,TON ,7995000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,21,Glenn ,2618,0.90,2356,674,TON ,1587000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,29,Kern ,4381,1.39,6100,540,TON ,3291000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,31,Kings ,6501,0.93,6046,400,TON ,2418000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,39,Madera ,460,1.35,621,617,TON ,383000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,47,Merced ,2963,0.95,2815,578,TON ,1628000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,53,Monterey ,73,1.53,112,902,TON ,101000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,59,Orange ,645,1.00,645,1240,TON ,799800
2002,169999,BEANS DRY EDIBLE UNSPEC. ,67,Sacramento ,1457,0.80,1170,544,TON ,636000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,81,San Mateo ,200,0.75,150,2000,TON ,300000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,95,Solano ,3927,0.83,3259,580,TON ,1890200
2002,169999,BEANS DRY EDIBLE UNSPEC. ,99,Stanislaus ,1050,1.10,1160,626,TON ,726000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,101,Sutter ,1824,0.81,1482,648,TON ,960700
2002,169999,BEANS DRY EDIBLE UNSPEC. ,103,Tehama ,800,0.89,712,625,TON ,445000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,107,Tulare ,4768,1.48,7060,599,TON ,4229000
2002,169999,BEANS DRY EDIBLE UNSPEC. ,999, State Totals,52470,1.10,57573,581,    ,33457700
2002,304399,BEANS FRESH UNSPECIFIED ,59,Orange ,937,6.00,5622,1100,TON ,6184200
2002,304399,BEANS FRESH UNSPECIFIED ,65,Riverside ,464,5.10,2365,1138,TON ,2690500
2002,304399,BEANS FRESH UNSPECIFIED ,71,San Bernardino ,236,8.23,1943,820,TON ,1593400
2002,304399,BEANS FRESH UNSPECIFIED ,99,Stanislaus ,6120,1.73,10600,453,TON ,4802000
2002,304399,BEANS FRESH UNSPECIFIED ,999, State Totals,7757,2.65,20530,744,    ,15270100
2002,161742,BEANS GARBANZO ,77,San Joaquin ,1200,1.00,1200,480,TON ,576000
2002,161742,BEANS GARBANZO ,79,San Luis Obispo ,400,0.60,240,442,TON ,106000
2002,161742,BEANS GARBANZO ,999, State Totals,1600,0.90,1440,474,    ,682000
2002,161717,BEANS KIDNEY RED ,77,San Joaquin ,3400,0.99,3373,640,TON ,2159000
2002,161717,BEANS KIDNEY RED ,101,Sutter ,252,0.80,202,664,TON ,134100
2002,161717,BEANS KIDNEY RED ,999, State Totals,3652,0.98,3575,641,    ,2293100
2002,161132,BEANS LIMA BABY DRY ,99,Stanislaus ,4200,1.35,5670,623,TON ,3532000
2002,161132,BEANS LIMA BABY DRY ,101,Sutter ,3962,1.23,4873,600,TON ,2923400
2002,161132,BEANS LIMA BABY DRY ,999, State Totals,8162,1.29,10543,612,    ,6455400
2002,303999,BEANS LIMA GREEN ,47,Merced ,1973,1.64,3227,442,TON ,1426000
2002,303999,BEANS LIMA GREEN ,999, State Totals,1973,1.64,3227,442,    ,1426000
2002,161131,BEANS LIMA LG. DRY ,47,Merced ,1255,1.40,1758,770,TON ,1354000
2002,161131,BEANS LIMA LG. DRY ,53,Monterey ,1582,1.24,1957,1210,TON ,2368000
2002,161131,BEANS LIMA LG. DRY ,99,Stanislaus ,8300,1.51,12500,813,TON ,10163000
2002,161131,BEANS LIMA LG. DRY ,999, State Totals,11137,1.46,16215,856,    ,13885000
2002,161199,BEANS LIMA UNSPECIFIED ,77,San Joaquin ,5000,1.44,7200,646,TON ,4648000
2002,161199,BEANS LIMA UNSPECIFIED ,83,Santa Barbara ,4450,0.52,2303,1071,TON ,2465500
2002,161199,BEANS LIMA UNSPECIFIED ,111,Ventura ,1944,1.65,3201,748,TON ,2395000
2002,161199,BEANS LIMA UNSPECIFIED ,999, State Totals,11394,1.11,12704,748,    ,9508500
2002,161721,BEANS PINK ,101,Sutter ,700,0.66,462,500,TON ,231000
2002,161721,BEANS PINK ,999, State Totals,700,0.66,462,500,    ,231000
2002,171619,BEANS SEED ,7,Butte ,450,1.10,495,661,TON ,327000
2002,171619,BEANS SEED ,11,Colusa ,770,0.95,732,720,TON ,527000
2002,171619,BEANS SEED ,21,Glenn ,1330,1.19,1582,609,TON ,964000
2002,171619,BEANS SEED ,53,Monterey ,3163,0.78,2474,1952,TON ,4828000
2002,171619,BEANS SEED ,77,San Joaquin ,2100,0.96,2010,720,TON ,1447000
2002,171619,BEANS SEED ,83,Santa Barbara ,  ,  ,  ,  ,  ,616800
2002,171619,BEANS SEED ,95,Solano ,2211,0.92,2034,740,TON ,1505100
2002,171619,BEANS SEED ,101,Sutter ,1359,0.69,937,661,TON ,619300
